贡嘎县,2020,213314,9196,113320,2386
桑日县,2020,202137,5327,148050,2634
琼结县,2020,60745,3863,29850,1036
曲松县,2020,96041,4368,50522,2070
措美县,2020,92283,3164,58323,4177
洛扎县,2020,77153,5155,42340,5031
加查县,2020,201916,9343,110516,4430
隆子县,2020,164963,8367,88147,10102
错那县,2020,81396,2900,42968,35191
浪卡子县,2020,100016,6053,53914,7970
色尼区,2020,730656,39719,274035,16195
嘉黎县,2020,92938,16115,33474,13069
比如县,2020,131874,32901,33956,11684
聂荣县,2020,91318,14551,34201,8991
安多县,2020,123557,16612,34660,100000
申扎县,2020,69816,10424,14474,25646
索县,2020,105114,16246,29308,5631
班戈县,2020,100620,19486,33744,30858
巴青县,2020,114597,22994,22820,9811
尼玛县,2020,97863,16203,20058,72530
双湖县,2020,55747,9649,12770,116637
普兰县,2020,57901,4794,21748,12500
札达县,2020,53921,4507,19743,24615
噶尔县,2020,284538,7550,121177,17670
日土县,2020,60391,9046,17907,77096
革吉县,2020,79764,14089,23456,46104
改则县,2020,100419,25531,24654,135616
措勤县,2020,69808,10585,20449,22136
泗洪县,2020,5254100,887800,1920200,2694
萧山区,2020,18284700,578687,6933816,1414
余杭区,2020,30516112,526208,6769291,1228
富阳区,2020,8120652,495083,3450240,1821
临安区,2020,6004051,460050,2800463,3119
农安县,2020,2923069,1381435,352966,5415
榆树市,2020,2694494,1289008,282018,4712
德惠市,2020,2493000,893000,346000,3461
公主岭市,2020,3147476,855788,675994,4111
永吉县,2020,679402,136617,196682,2399
蛟河市,2020,966999,279621,203371,6370
桦甸市,2020,1015031,343056,208209,6625
舒兰市,2020,1276944,571248,186508,4559
磐石市,2020,1293137,377068,332260,3861
梨树县,2020,1547470,857977,139477,3536
伊通满族自治县,2020,991637,475595,70245,2527
双辽市,2020,961488,431402,135116,3121
东丰县,2020,1389289,258371,308784,2522
东辽县,2020,917687,212249,157370,2189
通化县,2020,796947,105548,299285,3724
辉南县,2020,884749,227468,214135,2276
柳河县,2020,799220,211759,186296,3346
梅河口市,2020,2174675,226872,884529,2179
集安市,2020,680721,78006,148764,3341
江源区,2020,857272,86470,190846,1348
抚松县,2020,1070895,236428,162819,6159
靖宇县,2020,636877,75006,157113,3094
长白朝鲜族自治县,2020,362925,55865,76962,2506
临江市,2020,784536,82796,219589,3009
前郭尔罗斯蒙古族自治县,2020,1500714,634750,177788,6979
长岭县,2020,1510924,625923,163935,5736
乾安县,2020,680724,200170,155990,3617
扶余市,2020,1484301,611151,126534,4654
镇赉县,2020,826384,346921,87008,4719
通榆县,2020,834562,259562,126984,8476
洮南市,2020,885608,318640,67328,5017
大安市,2020,919553,241826,177212,4879
延吉市,2020,3145571,43909,1081538,1748
图们市,2020,254745,16870,79081,1147
敦化市,2020,1372281,233519,424872,11957
珲春市,2020,911089,64753,445019,5171
龙井市,2020,317696,44512,82922,2209
和龙市,2020,333381,52246,86878,5069
汪清县,2020,537311,138262,96207,8918
安图县,2020,396490,68677,120275,7444
五指山市,2020,340518,73662,68216,1143
琼海市,2020,2920957,945931,402062,1716
文昌市,2020,2635012,905991,525847,2459
万宁市,2020,2374047,726312,504532,1902
东方市,2020,1865011,505403,703031,2273
定安县,2020,1058763,381010,176538,1197
屯昌县,2020,889851,314347,107892,1224
澄迈县,2020,3483615,904000,823938,2076
临高县,2020,2042233,1262483,117932,1343
白沙黎族自治县,2020,568498,235891,69621,2117
昌江黎族自治县,2020,1241180,338171,494407,1621
乐东黎族自治县,2020,1511114,827778,188351,2766
陵水黎族自治县,2020,1955172,518400,305958,1108
保亭黎族苗族自治县,2020,562728,198588,60096,1153
琼中黎族苗族自治县,2020,590073,211461,91108,2704
綦江区,2020,7142672,783260,3251744,2749
大足区,2020,7005407,606123,3552096,1436
云和县,2020,869947,49084,439949,990
庆元县,2020,789300,75600,282600,1898
景宁畲族自治县,2020,747647,68049,168594,1939
龙泉市,2020,1471555,161787,511335,3044
长丰县,2020,6593988,760170,2657055,1841
武鸣区,2020,3193408,1285828,739265,3389
隆安县,2020,993852,420542,224632,2306
马山县,2020,901272,260896,199326,2341
上林县,2020,905743,276228,167348,1871
宾阳县,2020,2799583,609525,831909,2298
横县,2020,3204449,862647,999201,3448
柳江区,2020,3104620,426410,1264213,1773
柳城县,2020,1753296,522750,560268,2114
鹿寨县,2020,1912217,378851,810396,2975
融安县,2020,1083959,285692,325533,2898
融水苗族自治县,2020,1315057,200032,404030,4638
三江侗族自治县,2020,784434,205448,150923,2417
临桂区,2020,2314308,431537,707392,2247
阳朔县,2020,1079970,307902,216206,1436
灵川县,2020,1733982,520165,371587,2302
全州县,2020,1781101,709901,226411,3979
兴安县,2020,1477714,606589,315576,2333
永福县,2020,829681,277551,138630,2795
灌阳县,2020,715309,302565,118698,1835
龙胜各族自治县,2020,604037,133988,139216,2451
资源县,2020,503595,179605,66458,1941
平乐县,2020,1093874,556582,92765,1893
恭城瑶族自治县,2020,836908,399064,115820,2139
荔浦市,2020,1485715,300687,425821,1760
苍梧县,2020,523308,222532,105457,2782
藤县,2020,2266039,660068,596455,3946
蒙山县,2020,780008,162337,307043,1282
岑溪市,2020,2051514,469729,693113,2770
合浦县,2020,3035349,1074077,572117,2784
上思县,2020,758040,289066,204679,2814
东兴市,2020,782425,213917,126865,590
灵山县,2020,2901172,808376,441983,3558
浦北县,2020,2149717,607896,483476,2601
平南县,2020,2894543,654087,830885,2984
桂平市,2020,3624712,789625,1053158,4071
容县,2020,1829349,494228,420447,2255
陆川县,2020,2082344,443094,513427,1554
博白县,2020,2912144,974425,590089,3830
兴业县,2020,1650905,448495,517812,1468
北流市,2020,3196038,612376,880444,2452
右江区,2020,3234712,372558,1320945,3718
田阳区,2020,1541179,386965,771967,2373
